;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
Bhutan;779,9455229940052;788,1126142749642;796,1390615259158;804,046988255843;811,848035558346;819,5416797473887;827,117972041654;834,5629186134933;841,8642814205126;849,0158646965958;856,0191750717689;862,8823674674306;869,6172632740038;876,2357041846846;882,746502345678;889,1538474347711;895,4574272075477;901,653934847049;907,7392544638566;913,7105218202444;919,5674320212337;925,3125091488158;930,9504280247071;936,4867618270548;941,9266472450781;947,2738019654366;952,5301449475579;957,69603774232;962,7709662918237;967,7543742518332
Bolivia (Plurinational State of);11833,013984951474;11992,976789741067;12152,74417169949;12312,140366369067;12471,051992107668;12629,451136249068;12787,380465758954;12944,916941043766;13102,133658036732;13259,074297722256;13415,745811165216;13572,126659608854;13728,183037186165;13883,88481163858;14039,215446462556;14194,174048330622;14348,771103034444;14503,021308564328;14656,936973470645;14810,524224633114;14963,782584466824;15116,707083216854;15269,291391355724;15421,53052924087;15573,422288888163;15724,96722673197;15876,167649330004;16027,026257792062;16177,545045938532;16327,724779975462
Bosnia and Herzegovina;3261,375644730875;3241,6952641647513;3221,082536624564;3199,8402461099327;3178,268694694704;3157,1201751270405;3136,6461734616028;3117,151305763664;3098,323522456672;3079,969575550558;3061,542057240926;3042,8716016469107;3023,675023629846;3004,123745541501;2984,2594466972523;2964,428743989052;2944,7008620076726;2925,2929131742303;2906,088555797279;2887,1080328873527;2868,119931751534;2849,108190403542;2829,905131677811;2810,594921146188;2791,12943617811;2771,666887437148;2752,1932415902797;2732,8369036037425;2713,531850328904;2694,3346271419236
Botswana;2397,027135491041;2440,829200051033;2484,485767415768;2529,6772400594327;2577,219451053117;2627,0535694818373;2678,11059637713;2729,0171067734227;2778,5328476202635;2826,1673187416727;2872,2098132924084;2917,6182824491816;2963,494969746014;3010,6731041303437;3059,353381127502;3109,1161137655427;3159,121351746083;3208,5180999510667;3256,775776711641;3303,8894838419774;3350,3200017453287;3396,771882123553;3443,8717281378404;3491,9246223000255;3540,8121841562447;3590,0853817323277;3639,1760464361128;3687,645199758161;3735,3492448038724;3782,4740020666495
Brazil;213993,61263255656;215353,04229523873;216640,73514116154;217859,22373586643;219009,7030069685;220092,29386150127;221106,63044706912;222052,3147245343;222929,11398151706;223736,96633462634;224475,9064273298;225145,99226529623;225747,26528208537;226279,7416771397;226743,42022979428;227138,29324954355;227464,3538846699;227721,59869035607;227910,02713705797;228029,64010666305;228080,43865454773;228062,4234332395;227975,59464072072;227819,9522032075;227595,49597050136;227302,2258289026;226940,1417303414;226509,24367471455;226009,53168128539;225441,00576848944
Brunei Darussalam;441,54835695566436;445,47104898115424;449,247403712929;452,85406693044115;456,28595777120984;459,5354912330799;462,6092244508866;465,512440089948;468,2547020284725;470,8402388652667;473,2715031153628;475,5459347890603;477,6600818662488;479,6095512975596;481,39187641308575;483,0061478523756;484,4535500619347;485,7360250885946;486,85571370719646;487,8139220420977;488,6110186760199;489,24640337047515;489,7190361632396;490,0278458561977;490,1721650515411;490,1518380417315;489,9671810097968;489,6187404303992;489,10705817151774;488,4324702294547
Bulgaria;6896,503802044995;6844,09838669326;6791,165992350865;6737,716908055557;6683,852314088753;6629,676889770465;6575,308752941747;6520,830772796465;6466,312805582726;6411,790127310211;6357,287600256356;6302,809272753395;6248,357235770554;6193,924369549495;6139,506678521093;6085,096949367554;6030,692210052356;5976,288302568371;5921,88443718256;5867,478962739083;5813,072357013853;5758,664190977277;5704,255248780301;5649,8454550127035;5595,4354330596825;5541,025111556245;5486,614866668692;5432,204575288693;5377,794435640633;5323,384310407302
Burkina Faso;21497,304428572705;22103,463826161053;22721,647784771674;23351,705985843328;23993,50963223022;24646,989739982575;25312,144146088118;25989,01956870979;26677,681867247957;27378,18803296615;28090,569062214665;28814,826561389913;29550,940412058717;30298,881766707098;31058,62541375055;31830,15743429723;32613,47683302702;33408,592267029046;34215,516368625205;35034,26028801796;35864,830271761566;36707,22688490814;37561,446405228155;38427,48330252234;39305,33264667619;40194,99163595114;41096,45996573406;42009,73923510711;42934,831864429056;43871,74003303353
Burundi;12254,886973452749;12622,348011282094;12992,929824469771;13366,47773804794;13742,761168258116;14121,418955939816;14501,990089052504;14883,991212270317;15266,998275598191;15650,700801614372;16034,915666184397;16419,564860558887;16804,632834779353;17190,12180789241;17576,019268394477;17962,284100180244;18348,84996096383;18735,639323059717;19122,57998413356;19509,617403586137;19896,71953347195;20283,874301967255;20671,082364683607;21058,348634771726;21445,675573347256;21833,0598400697;22220,492367134666;22607,960783885064;22995,452651607964;23382,95813983848
Cabo Verde;561,8975000023054;567,6704506265264;573,3466652438906;578,9888434341702;584,6642041309118;590,4280604980148;596,3147268340682;602,3363017110282;608,4866409342742;614,7470435119463;621,0912129097547;627,4887062141424;633,9073177091198;640,315231687196;646,6834662625289;652,9885487431972;659,2149223085543;665,3564815435102;671,4168399017317;677,4082802978237;683,3496538828686;689,2636661408825;695,1740098784642;701,1027208037186;707,0680100753501;713,0827183875317;719,1534559172387;725,2804357816457;731,4579609414562;737,6754759506132
Cambodia;16947,4566187119;17173,056759622697;17397,496142374985;17622,28949623048;17848,58870954157;18076,619982213397;18306,02040821241;18535,830491303146;18765,158831300523;18993,27391474684;19220,05542422264;19445,753441348676;19671,046652080946;19896,56282054402;20122,846661035524;20350,012921737456;20577,930596907492;20806,147711492184;21034,243681280182;21261,828625663195;21488,812068715913;21715,261290989692;21941,48146676191;22167,755642481687;22394,364540714203;22621,378762588876;22848,76945062411;23076,331114613622;23303,874991925924;23531,199621364387
Cameroon;27224,14418496244;27910,84138859811;28605,83618581786;29309,091643434313;30020,59633955664;30740,34674187152;31468,341757982103;32204,581050055727;32949,06451361487;33701,792116348995;34462,76384826579;35231,97970627508;36009,4396894212;36795,14379740857;37589,092030145825;38391,284387604675;39201,72086977639;40020,401476658255;40847,326208249455;41682,4950645497;42525,90804555894;43377,56515127714;44237,466381704275;45105,611736840365;45982,0012166854;46866,63482123938;47759,5125505023;48660,63440447418;49570,000383155;50487,61048654476
Canada;38068,24400684832;38389,78633242333;38707,42828876016;39021,73959370918;39333,187770155666;39642,06265972061;39948,49944847748;40252,495220482444;40553,96145888356;40852,76632163341;41148,77808216546;41441,89208513978;41732,04709446846;42019,227750721664;42303,458915580035;42584,79401568848;42863,30199759414;43139,0551496772;43412,11998018377;43682,55169878194;43950,39232306732;44215,67161584353;44478,409891084855;44738,62161767643;44996,31896067573;45251,51464220108;45504,223820234045;45754,46493866983;46002,25970313785;46247,63244374568
Cayman Islands;66,50563627295968;67,31461103266723;68,15033057236147;69,00591190647754;69,86994943499666;70,72978518004194;71,57716131499528;72,4099512831879;73,23239404473881;74,05225552493994;74,87752335719922;75,71319601319331;76,55984997335563;77,4139485151755;78,26974936002338;79,12172679535156;79,96661978532718;80,80432300077366;81,63748678561501;82,4701267778956;83,30592129997106;84,1468676826097;84,99276121382722;85,84157330249555;86,69046554438664;87,53696766661821;88,3798549602592;89,2194355437767;90,05722167473725;90,89519349894856
Central African Republic;4918,003094830431;5008,2233149396825;5099,218191064965;5190,257857713394;5281,043705104469;5371,601032260593;5462,134836272387;5552,886872394519;5644,028138327302;5735,605858885429;5827,545452684618;5919,6926001590255;6011,872558263818;6103,944216540046;6195,8332343739685;6287,538526186574;6379,115755814275;6470,647686904394;6562,213077112847;6653,863711946402;6745,6146473976305;6837,447666957422;6929,323999160158;7021,200434906662;7113,043252796092;7204,836248165118;7296,5817461636325;7388,295832330847;7480,00050026629;7571,7157496776135
Chad;16915,61476520199;17415,68391439622;17925,123374142564;18442,49825339898;18966,995517795767;19498,174952774898;20036,501088319186;20582,568124575188;21137,25012703692;21700,911860669017;22273,74767045497;22855,367482993788;23445,42165894502;24043,3802338678;24649,112937208592;25262,534267342435;25883,946801208345;26513,539303441525;27151,63491386509;27798,248532346104;28453,42254211255;29116,93145233003;29788,68679700498;30468,48781334268;31156,37095378222;31852,30778362362;32556,4634078247;33268,867008102316;33989,64762817835;34718,7503382348
Chile;19219,933225829078;19283,69849128111;19342,00800321165;19429,531354304487;19567,49528573253;19755,826348244944;19974,039029903237;20190,2363930528;20374,34854090206;20510,16235324803;20601,365390372226;20669,39079196577;20744,21388830109;20852,037745381465;21004,916003506638;21196,409251590932;21404,80901607395;21602,37463191978;21766,670000402944;21889,38020146203;21979,158600922874;22057,568925010655;22149,98892918644;22275,298762838425;22438,53237681968;22629,33722352248;22826,659202782306;23007,558254747855;23156,47552938821;23271,21918113797
China;1444840,5491084603;1450344,7842378763;1455844,3331420496;1461343,4323320256;1466842,3675816006;1472341,2605848657;1477840,147162779;1483339,0318612752;1488837,9161351318;1494336,8003280675;1499835,6845001567;1505334,5686676947;1510833,4528342732;1516332,3370006212;1521831,221166919;1527330,1053332058;1532828,98949949;1538327,8736657735;1543826,7578320568;1549325,6419983404;1554824,5261646237;1560323,410330907;1565822,2944971903;1571321,1786634736;1576820,0628297569;1582318,9469960402;1587817,8311623235;1593316,7153286068;1598815,59949489;1604314,4836611734
Colombia;51282,055168998704;51583,117964986865;51867,776500089676;52219,840899682924;52692,2664328073;53287,76556014616;53960,09842737806;54634,62819205865;55239,15920612341;55732,40624096602;56118,945812401456;56445,34764941018;56779,86625210244;57184,46755091112;57690,60195210453;58288,1388620868;58931,24731128506;59558,13341380017;60116,20315975905;60582,45265940223;60971,23510083988;61326,900619948676;61704,90182618561;62149,35852323171;62676,11576977081;63267,74955101186;63881,95755175658;64469,41306689321;64993,59341503484;65444,6504497785
Comoros;888,4223506719313;907,3549337941895;926,3708493978486;945,4496178931921;964,5760502572276;983,7421513467732;1002,9463966050637;1022,191097237865;1041,4790254056395;1060,8106118645997;1080,1826068726464;1099,5884435029163;1119,0198932206538;1138,4692043865964;1157,930865242389;1177,4024005421006;1196,884050031612;1216,377603762482;1235,8849319627411;1255,4067763684216;1274,9421905712848;1294,4887253294794;1314,0431729210425;1333,6025124366008;1353,164680680621;1372,7289137151374;1392,2955978080884;1411,8657547866935;1431,4403996843923;1451,0200186555542
Congo;5656,239332755932;5794,889209348379;5934,143890758127;6074,593984354145;6216,5018823392775;6360,1501378694065;6505,243475794322;6651,497961805559;6798,280034712253;6945,278871499661;7092,131450573606;7238,94240693496;7385,756271081431;7532,920757090727;7680,515179711705;7828,723862361505;7977,372956956922;8126,400317683762;8275,497771743601;8424,60217653241;8573,532358559876;8722,403068229294;8871,202920027394;9020,136748633784;9169,196160573152;9318,503726310912;9467,939353884602;9617,519480497815;9767,073217712188;9916,621260168837
Democratic Republic of the Congo;92375,90493433517;95228,64571265674;98113,49896516722;101024,2305181939;103955,25541657247;106902,20031023108;109862,08374686383;112833,11641012975;115814,26401482329;118804,7686049308;121803,7926461644;124810,26730300204;127822,93463751557;130840,50836363215;133861,85596519124;136886,1233657165;139912,765169221;142941,48783068536;145972,14341798428;149004,6205822636;152038,7691713884;155074,37412699693;158111,1730772598;161148,8981273468;164187,31891393787;167226,26961885588;170265,65301783918;173305,42484468923;176345,5681609454;179386,06869880788
Cook Islands;17,555312355496522;17,518309833596042;17,460512148623312;17,39531736879563;17,337039246324938;17,296742004027095;17,279828693996063;17,28566089589531;17,308879878369797;17,341711100137914;17,376422675261914;17,407244700559385;17,431350248753017;17,448837268308033;17,461932776078093;17,473802588042755;17,487373591761312;17,50448447399022;17,525524108632947;17,549550837791887;17,57475739278767;17,59908180453434;17,6207679495679;17,638734944874017;17,652696232672785;17,663049276043804;17,670614054002556;17,67632245412435;17,680951926014316;17,684964743599483
Costa Rica;5138,982218660368;5182,129048006106;5223,5737013054495;5263,356342533633;5301,512570062633;5338,062249445769;5373,009806367416;5406,350198046987;5438,075500813889;5468,179324310346;5496,658462949008;5523,51252893067;5548,742704088688;5572,350517385101;5594,337096453697;5614,702940895417;5633,448044635517;5650,572148455306;5666,074963032881;5679,956292963085;5692,216063982084;5702,854291028872;5711,8710284675135;5719,266330072732;5725,040229039438;5729,192735646881;5731,7238447217715;5732,63354523638;5731,921827364994;5729,588685595028
Croatia;4081,701253054837;4059,6888733354;4039,121421517026;4019,762971717522;4001,3048542775123;3983,4149224484786;3965,7817702390407;3948,146536898818;3930,3192643809703;3912,1821489979034;3893,6836845521125;3874,827072860243;3855,655556234935;3836,236987591729;3816,6495925599866;3796,9702873989972;3777,26623686823;3757,589755595662;3737,9762449246823;3718,4446005715727;3698,999397143519;3679,6341340423264;3660,3348924902352;3641,083877259445;3621,862468857173;3602,653566594409;3583,44314168157;3564,2210308715703;3544,9810798349426;3525,720791000644
Cuba;11318,564865712395;11310,026475879748;11301,385193290209;11292,768075680866;11284,131533182948;11275,358680171197;11266,34266211055;11257,03819897689;11247,475607177124;11237,74341357384;11227,95343781846;11218,204191656952;11208,555171226799;11199,018213301637;11189,565210276067;11180,146375284527;11170,71112327363;11161,224495625433;11151,674974550588;11142,073135314327;11132,443581495441;11122,814185504405;11113,206624348973;11103,630919121175;11094,084831647473;11084,557252711675;11075,033645353738;11065,501380196785;11055,953304841409;11046,388807285439
Curaçao;164,8672357021992;165,75927376436502;166,76055463146423;167,82109118372142;168,87855929365975;169,87795564427418;170,78371486581216;171,58306814832324;172,28235556873452;172,8994763963323;173,45574579481465;173,9695565620777;174,45297884384857;174,91125489329974;175,34436135446316;175,74951131044818;176,12357928770314;176,4647899499697;176,77343529603448;177,05173575822613;177,30316382537143;177,53159609656097;177,74058881118106;177,9329413810109;178,11057833446856;178,27468112243386;178,42595368146849;178,56490605638112;178,69207300050516;178,80812967154472
Cyprus;1215,3800680603213;1222,6792875298509;1229,402165721971;1235,872246295598;1242,3401582841755;1249,0570778171048;1256,0911837121632;1263,4631500002388;1271,046053642028;1278,7347474459393;1286,3732033206752;1293,8998812118728;1301,2552085555785;1308,480192851969;1315,6028559813005;1322,7090527492683;1329,8340561566256;1337,033228460251;1344,2972380869653;1351,6317394424295;1358,9931921851805;1366,368432037756;1373,7174359015964;1381,0415454289907;1388,3247130783716;1395,5883366404694;1402,832504632024;1410,083109029283;1417,3386706585063;1424,615398127762
Czechia;10723,959359195176;10734,779321790737;10743,241044953178;10751,537448574301;10761,50202842655;10774,106018202308;10789,316727714753;10806,294533962919;10823,804514529409;10840,67475387197;10856,149921610018;10870,04941236315;10882,717045257961;10894,81667279205;10907,065975528301;10920,002860049704;10933,851202911914;10948,50934641397;10963,642161309746;10978,828779429217;10993,70963751059;11008,087142477281;11021,957194863486;11035,474573636096;11048,87523679737;11062,387740300206;11076,16339495381;11090,2434480092;11104,566647386458;11119,00734070898
Côte d'Ivoire;27053,209075605897;27739,8222125805;28436,643348788588;29142,352879995302;29855,791735956143;30575,9489935753;31301,94505340398;32033,015208992965;32768,49482733147;33507,806308800886;34250,447706949766;34995,98282455917;35744,03260274349;36494,26763673493;37246,401671667816;38000,18595025945;38755,40430087502;39511,868869015154;40269,4164079489;41027,9050552498;41787,211531585344;42547,22870644746;43307,863482757166;44069,03495857279;44830,67282960295;45592,71600098041;46355,11138088489;47117,812832193784;47880,78026146007;48643,97882722853
Denmark;5813,345215844618;5835,279433424147;5857,932595792725;5881,132185543448;5904,703214952621;5928,466228092347;5952,277165793689;5976,026613183523;5999,648629972595;6023,1130660438075;6046,420289274364;6069,59076162786;6092,656798971648;6115,654357719174;6138,617415315904;6161,574008839216;6184,544454424501;6207,541012905854;6230,56877714249;6253,627188188675;6276,71184880758;6299,816270838052;6322,933368308351;6346,05656680386;6369,180508420322;6392,301379878099;6415,416938713296;6438,526325261169;6461,6297515134665;6484,728144849248
Djibouti;1002,2956296718064;1016,5207572984931;1030,7664429601073;1045,1097969310315;1059,5798616675922;1074,162220315776;1088,7978818050626;1103,417911585407;1117,9597069991944;1132,39807543901;1146,7426719705988;1161,0401846586217;1175,3465822314886;1189,71405423214;1204,1650665102159;1218,693841955093;1233,2637053852102;1247,829385897301;1262,3475087634329;1276,7982447924946;1291,1845993802433;1305,5353035038063;1319,8869145828858;1334,2754159095282;1348,718178970472;1363,2141489266608;1377,7408896477284;1392,2689323714208;1406,768479326817;1421,2244108992204
Dominica;72,1620279302718;72,3137265018759;72,44569442128176;72,56352719215137;72,67620313986433;72,79285777789264;72,92001166582058;73,06001514828861;73,2109888422194;73,3680455618629;73,52522721710413;73,677463115937;73,82195733868733;73,95867653065795;74,0899310544508;74,2193162343025;74,35043148404237;74,48579705655688;74,62626354987707;74,77101527702189;74,91807429045785;75,0650757378133;75,21003921744735;75,35190474999631;75,49070870143197;75,62740264073064;75,76342504866953;75,90019306639246;76,03867956693117;76,17918951009023
